cifar_index,label,sample_index
49176,0,0
35546,0,1
28673,2,2
4333,7,3
34233,1,4
38102,2,5
46076,4,6
46874,2,7
14602,2,8
38718,0,9
27189,7,10
24418,6,11
13161,5,12
9299,2,13
44567,7,14
1807,6,15
11424,0,16
7016,7,17
41497,3,18
39913,6,19
19214,8,20
49504,4,21
4776,2,22
35649,1,23
24419,4,24
47646,8,25
36037,7,26
9887,4,27
7297,1,28
4843,6,29
1541,1,30
31781,5,31
6214,4,32
49531,5,33
35589,7,34
23591,4,35
28201,7,36
47674,2,37
3252,4,38
13317,1,39
49958,3,40
2064,5,41
11833,6,42
44360,4,43
5989,7,44
38197,6,45
20674,1,46
19398,8,47
1515,8,48
41312,2,49
44947,9,50
20993,6,51
11957,4,52
47880,7,53
31507,4,54
1852,2,55
7768,3,56
40515,2,57
40622,9,58
21486,2,59
20452,0,60
25093,8,61
25928,2,62
20600,9,63
23561,7,64
11938,3,65
8678,8,66
25234,6,67
27295,6,68
17323,4,69
34691,8,70
26498,1,71
9201,7,72
25593,2,73
6765,1,74
42593,7,75
10494,9,76
16706,7,77
3251,7,78
9997,1,79
40591,4,80
49001,9,81
46163,9,82
16511,0,83
5018,9,84
47786,5,85
47806,8,86
42422,9,87
7657,9,88
18745,0,89
44030,1,90
41368,1,91
18207,4,92
21238,1,93
35781,6,94
13940,1,95
15318,0,96
16260,7,97
31835,6,98
8922,8,99
27924,8,100
1090,1,101
13799,7,102
47641,9,103
7364,5,104
43338,5,105
31875,5,106
25504,3,107
43494,4,108
17216,9,109
22734,2,110
36021,1,111
19569,4,112
3973,4,113
38934,7,114
1474,5,115
19880,1,116
48531,2,117
10801,2,118
6132,0,119
38454,4,120
21394,7,121
37601,7,122
30833,6,123
35592,9,124
14331,5,125
18190,8,126
28510,5,127
12967,0,128
39117,9,129
32779,7,130
35720,9,131
49651,0,132
13107,2,133
15730,4,134
37913,1,135
16303,2,136
9147,4,137
9051,3,138
36699,2,139
21685,1,140
15148,7,141
8728,9,142
21885,2,143
26260,3,144
13251,5,145
45670,3,146
41697,5,147
27460,0,148
28007,5,149
16598,1,150
4547,5,151
6163,9,152
15930,9,153
48978,0,154
13820,2,155
9445,5,156
41870,6,157
9283,3,158
41588,0,159
34810,1,160
43991,5,161
40320,0,162
25181,1,163
4455,2,164
1893,9,165
7519,3,166
8599,3,167
46010,5,168
1100,3,169
22566,7,170
1870,4,171
7068,2,172
20695,2,173
39162,4,174
41177,6,175
9453,7,176
9176,4,177
22650,5,178
41415,9,179
27894,7,180
19178,4,181
44337,5,182
45941,5,183
20145,2,184
48505,4,185
6222,5,186
45962,4,187
48996,9,188
16230,0,189
13145,4,190
49492,3,191
22178,0,192
702,3,193
39304,7,194
6117,7,195
36564,6,196
29353,4,197
7593,3,198
3903,0,199
30631,2,200
39883,0,201
6939,7,202
47228,4,203
19271,5,204
43257,3,205
32199,5,206
4863,8,207
10525,4,208
32191,6,209
6621,2,210
25929,2,211
27076,2,212
18243,5,213
17832,2,214
30845,7,215
44586,4,216
17307,4,217
2695,4,218
3134,3,219
16283,6,220
46479,8,221
35345,8,222
34725,6,223
29315,1,224
797,7,225
26427,0,226
34655,8,227
45269,5,228
27813,0,229
28942,3,230
2354,2,231
32083,1,232
33291,2,233
22233,9,234
34807,7,235
30889,5,236
16784,6,237
47312,4,238
17998,0,239
41810,4,240
21127,5,241
2507,2,242
43275,5,243
39052,6,244
10490,7,245
42152,5,246
28053,9,247
5227,4,248
34780,0,249
10280,2,250
33374,7,251
22130,7,252
26081,0,253
44084,3,254
37554,3,255
39576,4,256
27887,8,257
22943,1,258
27231,0,259
5749,5,260
17867,1,261
42307,1,262
43731,0,263
37783,0,264
13882,4,265
40117,9,266
33202,0,267
22728,2,268
21794,4,269
16562,6,270
41583,5,271
22447,9,272
43352,3,273
8684,5,274
29491,5,275
37804,3,276
33581,4,277
6535,4,278
26871,5,279
31318,2,280
34611,2,281
5795,8,282
9060,3,283
49906,3,284
30582,1,285
11934,2,286
15086,0,287
29856,0,288
11562,4,289
25490,3,290
7949,8,291
33414,0,292
40878,5,293
17776,6,294
16644,2,295
1926,0,296
47725,5,297
22735,6,298
49183,7,299
392,0,300
9515,6,301
48951,2,302
11347,5,303
25096,8,304
48034,9,305
44897,3,306
27531,4,307
42615,2,308
22799,0,309
27064,3,310
3553,7,311
26969,5,312
18898,9,313
37589,5,314
4445,7,315
48497,6,316
46300,7,317
35104,2,318
16690,2,319
29231,1,320
48024,0,321
32774,3,322
49389,8,323
48833,2,324
40146,4,325
7662,2,326
24859,0,327
33793,2,328
10429,5,329
8978,3,330
12545,5,331
35452,5,332
