cifar_index,label
22085,6
32267,0
25285,9
33083,2
2415,4
38898,0
33311,5
27510,1
29974,1
25601,7
46398,4
18462,3
4585,1
36741,9
43931,7
33760,8
28318,9
29905,1
47660,9
44006,7
36164,6
5144,1
15109,2
48476,0
37645,2
21971,1
23864,1
4109,2
45620,8
27365,9
8571,1
36985,8
48398,5
31605,9
43514,1
24053,8
46742,3
30416,9
16429,6
12353,8
826,8
40948,9
48596,7
15654,2
38803,7
30938,6
22439,6
27974,5
17705,8
20813,0
21644,6
14369,8
35047,9
9990,9
5831,1
13768,1
5391,0
18256,6
21690,9
18670,1
24882,6
46871,1
36458,9
49372,8
27291,9
22307,2
28567,9
24984,8
25712,0
38778,9
46427,1
30577,8
7792,0
6514,8
26538,8
15066,9
39264,9
47020,9
37822,6
46195,9
44945,9
14242,7
32043,3
45495,9
827,2
31110,1
21968,9
43646,1
44806,0
2430,7
22945,8
28297,1
6413,9
32631,0
2524,9
19891,9
42168,2
9448,2
46480,0
27622,9
30786,2
12197,8
40142,6
5991,7
2797,8
40412,9
47093,0
11719,6
4922,5
43995,6
22055,1
29598,8
42322,7
45266,6
12182,9
20220,2
3352,0
26610,9
5143,4
26225,8
18610,6
7850,2
34540,1
33230,1
29415,2
39664,0
45616,4
49616,1
27249,9
35004,1
8771,1
21933,1
11660,9
34624,2
271,2
14581,8
28866,0
38157,1
14549,1
31370,8
49542,8
1410,1
20376,1
17684,6
14567,0
26299,2
30913,0
18878,9
44407,5
8062,0
15796,7
26111,3
6977,8
31114,9
40157,9
3735,1
24501,8
26250,8
32691,8
15346,8
27228,1
47365,1
1397,8
13239,1
16927,6
48098,9
27872,6
29766,8
48835,2
19911,1
13232,2
46785,5
1242,1
21423,1
31946,8
1228,6
17703,9
30349,5
24833,1
44185,1
35402,9
28622,1
17983,0
14258,4
22561,2
25975,1
42525,6
30398,8
12553,0
7534,8
23542,6
971,8
18614,0
16997,1
2113,7
9627,8
41150,7
41502,1
43329,9
13714,0
41297,6
1599,1
16825,0
44710,9
12434,6
35312,6
47144,4
36640,9
5177,6
19247,7
32273,9
8482,2
21871,1
33468,6
43673,9
33050,1
9877,6
25026,5
4140,8
22792,7
10233,8
1448,1
18503,2
49954,4
823,1
8342,0
17601,8
34782,7
25815,6
4005,9
21010,9
7887,1
1661,5
23317,1
21895,9
24621,7
44293,5
10616,2
35158,7
5441,0
26404,1
2827,1
20190,0
38090,4
32327,8
2249,1
7788,0
46902,0
32964,9
38081,8
48330,5
22160,9
30171,0
22277,6
16668,6
42739,9
43081,9
9498,2
12721,2
26176,2
49891,0
17254,7
44652,2
12887,6
15879,6
44157,9
31122,1
12810,4
794,7
22036,7
20433,7
31626,3
1766,6
24163,0
18201,8
36152,2
25267,0
19090,8
1900,7
20804,9
26748,6
4071,9
20176,9
37990,2
21195,0
13668,0
6538,7
49106,2
41751,0
48023,4
40173,1
47471,6
27377,5
27810,9
7462,0
43389,6
41411,2
791,9
6871,1
43538,6
6525,9
43453,1
43943,9
38389,2
35216,2
46359,1
47872,2
34291,7
48832,5
41475,5
24140,8
12597,6
37201,9
27921,4
13174,0
31593,0
4287,8
42313,4
38927,8
30651,7
2305,5
19782,3
48726,8
11302,0
24676,0
5683,1
7316,6
31491,7
2817,8
28390,9
12626,8
12340,1
41774,0
41335,8
23253,3
44981,8
23391,1
45329,1
16106,6
36770,8
49581,6
11747,9
4255,5
3031,5
32958,6
13743,8
9344,8
39464,6
21646,8
31579,4
22236,6
21624,1
21164,8
22466,9
5498,7
31558,6
33832,1
6757,2
36734,9
17774,2
15944,2
432,1
48710,6
17734,1
7034,6
23373,6
14959,6
17428,9
503,8
20056,1
15161,8
9154,8
20445,5
11569,8
21632,9
19621,8
16947,1
31487,6
30943,1
18163,2
29828,1
19072,9
30956,7
41800,0
29901,1
11755,9
15215,9
35224,8
2633,0
8130,1
47877,8
13114,2
9848,4
17529,3
11686,1
20781,1
3589,6
45648,8
82,4
14902,9
8992,9
48086,1
47542,1
1389,1
19845,2
43260,7
3467,1
27104,0
44785,0
100,8
33419,0
14612,4
12891,8
38836,9
35226,2
42925,1
6141,1
17940,6
46421,1
19575,1
8662,5
6076,7
38499,0
40037,9
6650,0
17781,1
32299,2
11505,8
35496,8
36407,7
18443,7
10923,8
36999,7
37693,0
40340,7
32266,9
1430,2
33349,7
19627,4
20909,8
20931,1
26168,1
39307,7
36297,8
9042,1
4988,8
44527,8
17269,1
37710,8
6438,9
34432,6
3887,9
27775,7
3878,9
35062,7
1,9
46772,6
1959,6
2212,8
6464,1
43965,0
41932,0
48539,1
25842,1
28420,1
32647,1
44888,8
47461,9
14057,7
47588,1
40441,4
22918,9
21678,5
20508,8
9206,8
23381,7
26089,6
46702,2
15857,9
9633,4
8812,1
33418,8
27770,5
31311,1
7256,0
28043,2
47326,0
46670,8
8064,7
21269,7
13157,8
16229,7
25596,1
24552,6
26583,8
14637,8
45917,8
35933,1
38301,8
33503,2
2221,8
2241,6
2100,6
48802,6
27694,9
44331,8
4171,1
21967,7
21689,5
19939,1
10107,1
10273,6
37335,8
23656,2
31443,8
20398,0
45457,0
48452,3
30467,0
28586,8
3906,0
24673,6
48836,8
4152,6
46382,4
18244,9
26581,5
30382,7
16027,8
43434,6
4364,9
40017,2
16149,7
22022,8
17160,7
7536,4
39650,0
4529,5
2044,2
2923,8
36498,8
40987,1
23481,0
27215,1
18704,0
31607,1
34110,9
49887,8
36733,8
45268,1
35166,5
36698,0
23396,1
27834,6
48511,6
7842,0
8696,1
19289,9
2572,9
12808,0
48147,0
22388,1
1558,8
17762,0
1230,8
45169,6
43520,1
45914,3
42514,7
21555,9
13136,7
3184,0
1622,9
44478,6
33578,5
677,4
31749,1
13496,6
14207,8
16691,2
38456,2
17860,1
7414,9
35532,3
3283,4
46189,9
33180,4
49182,8
26438,8
28244,1
47524,5
23514,1
19813,4
22084,0
40239,5
34168,0
31506,0
35808,8
23944,2
11774,9
3875,3
2954,8
25879,4
37505,1
316,9
44589,1
36081,1
21843,7
12555,9
17206,2
33954,8
38198,0
47414,8
13972,4
1957,8
7465,2
20294,4
19692,6
205,9
14994,6
38334,0
38270,1
45264,0
9322,1
5585,9
37318,8
48886,6
3164,2
29540,0
41640,9
11350,7
1831,0
30424,3
45306,2
47134,5
45539,9
38754,8
45634,3
8535,0
25682,1
44884,0
6623,1
2928,1
4554,7
30665,2
46737,8
6224,6
34940,1
26744,0
46601,7
35144,3
20584,0
38280,9
11318,6
3409,9
5444,2
28852,5
33774,9
36016,5
41398,1
24774,1
28826,0
33764,0
41820,4
42929,0
28895,7
9635,2
9585,2
40405,5
17257,0
559,2
40139,8
36352,7
10214,7
1656,5
13695,8
14973,6
1336,8
33253,4
31204,3
4383,8
12137,2
14217,9
23360,5
9038,2
27465,1
41051,1
42182,8
7628,9
44592,0
3291,2
38250,6
8172,2
49744,8
7873,5
8461,7
11482,1
1985,1
11677,9
34069,1
13961,7
37314,9
27758,0
28292,1
44672,8
49045,1
3239,9
41843,7
44620,1
22640,6
34716,6
17760,1
28909,5
43891,1
18068,9
9545,8
3980,8
40875,9
23251,6
5320,9
34683,8
2111,6
38763,6
47046,7
637,0
5881,9
576,1
9938,1
45296,1
31512,1
41209,1
18270,6
20752,1
31095,9
17118,6
43101,8
36433,7
42437,1
8290,9
35051,1
16397,0
34400,1
15155,4
23149,8
23415,7
46054,0
35878,1
49788,8
37332,6
46559,9
33381,6
6553,0
22020,2
24928,6
36636,8
49075,1
16882,1
5239,7
21905,8
1978,6
44836,9
33429,5
34260,7
42936,7
11150,6
48107,8
46870,2
22496,8
3697,9
22502,6
4438,4
30350,6
25987,8
5597,7
46860,7
26275,6
43697,6
48575,6
29209,1
24173,9
48530,2
8477,2
42534,8
36119,0
21090,2
22214,8
17154,0
10690,0
26611,6
32401,0
24177,3
22623,9
12002,9
3032,9
18369,9
29969,5
1399,8
48926,0
25781,4
6477,2
44599,0
49493,5
43602,1
35620,6
18717,2
31780,6
6582,6
32765,8
28545,2
33384,8
45242,0
34563,6
10456,8
36316,2
5929,8
26467,1
23366,6
15401,9
3681,8
989,0
16471,1
44708,6
21808,1
41861,1
46041,0
14378,1
20852,0
39842,6
1916,3
30410,7
19303,6
8142,7
13430,7
41771,9
746,7
12624,6
14808,7
40539,7
7077,1
6237,9
326,6
33402,6
25747,6
30433,8
29141,6
14000,4
8665,8
6971,1
26521,1
24971,0
37487,6
30071,8
18631,8
44065,9
48725,8
14871,1
43666,6
13078,9
13293,8
46442,8
44584,2
40656,1
40673,6
22599,7
30692,9
1375,8
35415,4
10693,1
20995,9
22341,7
45679,0
25526,6
38780,7
33485,7
7899,6
25149,2
46221,9
47969,0
10152,2
14691,5
15637,9
47519,1
44919,9
31525,5
4608,2
40149,1
26249,7
11239,6
11702,1
49225,1
37933,6
42438,1
18698,1
508,9
2820,8
19320,5
22458,0
16102,2
35195,0
9251,1
765,0
34963,8
41287,6
184,1
12674,0
29385,6
37995,1
21923,9
10578,0
35300,8
32810,9
2786,6
32283,0
7950,6
27591,9
14099,9
23608,9
5188,7
40063,9
29103,6
42521,8
3832,8
43090,4
42663,1
41070,8
40355,0
4408,8
44540,2
12782,2
45904,0
26873,2
43802,9
10789,7
47274,0
33942,8
1053,6
11439,6
7541,6
16336,8
9270,9
47583,9
42821,2
41492,7
9557,9
1912,9
47540,1
31807,7
30764,9
22810,2
1019,7
21568,8
6955,1
19403,6
39499,2
16400,1
34031,6
31008,9
47794,7
49748,1
29609,9
21529,1
48428,0
45055,9
23698,6
33372,8
30758,9
23284,9
49096,1
45406,1
40025,7
11159,8
11634,6
21362,6
44526,1
34773,9
46588,1
41626,7
12849,1
19706,8
12250,2
19640,9
22984,1
19796,9
16849,9
47130,8
11700,9
29237,4
9336,9
29436,6
30851,1
11867,7
46963,8
7311,0
42944,8
11812,0
6304,3
17743,0
34156,6
13081,2
5287,1
