cifar_index,label
11711,6
37963,4
40558,3
28224,2
32383,7
9719,7
41031,4
29905,1
42805,1
19277,0
17204,6
46507,1
7937,6
49387,0
5196,1
44556,8
21971,1
30568,7
45774,6
30215,9
27365,9
47151,1
39772,4
8608,7
2525,3
41543,8
26399,3
41569,3
43964,7
4181,6
19103,0
32206,0
46553,0
20813,0
48890,5
41139,5
24678,1
5831,1
45045,8
45279,4
28567,9
28661,5
18815,5
26550,1
26538,8
5874,0
17215,9
24346,7
31823,2
42453,7
45495,9
44430,0
41394,3
9762,6
43646,1
33581,4
20239,8
22945,8
21688,9
14133,6
12025,1
39855,9
16838,0
7374,1
46480,0
14389,8
42970,3
40142,6
12313,4
44180,8
34208,8
8112,2
3443,0
9747,8
4488,6
24094,0
46209,5
46490,4
43995,6
33102,7
21963,7
20659,4
18661,2
21885,2
36617,5
3352,0
44001,0
46510,5
45240,8
26225,8
18610,6
39911,1
36487,5
16690,2
14310,4
22181,9
27249,9
19430,6
13237,7
27279,5
7985,0
13378,7
26427,0
4160,5
42741,9
44477,8
34772,9
720,6
48687,0
3389,7
28866,0
40143,0
15956,7
36124,3
18434,4
17242,7
25411,7
5035,7
47878,6
12585,8
14772,6
47790,6
34545,3
5759,1
19666,8
26299,2
24315,8
16054,9
44407,5
14163,6
8381,3
34084,5
39996,1
14499,0
12709,9
1395,7
31170,8
20115,6
4195,4
48098,9
18403,4
12970,9
48835,2
19911,1
26907,3
35327,0
44879,2
13186,4
36866,9
46160,3
10077,7
23488,5
3348,7
29018,7
12894,1
48853,7
2567,2
25422,0
2708,2
28901,9
1536,6
37738,0
46508,7
44185,1
15701,5
35146,2
6609,0
2838,9
17998,0
22233,9
45629,5
23542,6
24050,7
2113,7
27243,8
9627,8
25468,9
25294,6
4294,3
14527,3
33705,1
25445,5
22300,8
34483,9
23473,4
13038,4
25758,8
6754,6
3102,0
32488,1
47161,6
44895,9
4404,6
36029,9
19746,4
48868,9
25415,2
33050,1
19825,5
27232,7
23601,1
18503,2
823,1
34525,9
20060,4
16278,1
25815,6
17011,0
39633,7
21895,9
13565,8
40972,1
4546,6
45670,3
35474,4
35158,7
38996,2
6485,4
20686,0
19018,1
17051,3
26573,3
10292,1
8939,4
27418,3
44056,9
49966,6
38100,3
1210,6
35,0
9504,7
15879,6
14919,3
35926,1
46782,0
5817,2
12529,7
4006,1
30275,5
6484,2
48138,1
4418,2
31481,0
25267,0
21946,4
1598,0
27428,4
21195,0
40400,3
45325,8
6780,4
19893,9
39885,3
8590,5
29242,5
27962,0
16246,8
49621,6
28912,0
8557,6
33155,7
30228,4
31752,6
981,5
4130,6
29682,2
49003,9
27810,9
32823,8
41158,3
28519,5
5703,0
43389,6
41411,2
49383,1
17897,3
45104,8
12367,6
11613,8
3463,9
417,0
35216,2
35159,9
2390,1
49150,1
28631,3
44398,7
23320,0
41937,3
29583,3
6244,1
21723,0
29502,3
2733,5
29107,6
5226,2
13281,3
428,9
3294,8
31452,7
2817,8
43865,1
14878,1
16941,7
13037,1
19880,1
39708,7
44774,2
9049,4
35915,4
19117,3
39464,6
7064,6
16172,1
2152,6
24895,6
21646,8
635,9
8423,4
20335,3
21164,8
46300,7
38680,5
17801,4
26419,6
33363,0
10759,5
49127,8
7242,6
2858,4
46333,4
7538,6
33961,4
46566,4
16145,7
44415,1
38719,1
7340,2
34892,8
27891,4
46109,3
37917,6
29743,4
32861,8
15161,8
19786,5
24727,3
30906,6
33343,7
20178,5
41415,9
25796,8
18163,2
37544,9
27449,8
39419,8
44084,3
43063,5
21696,9
3754,6
44947,9
20511,4
48025,2
20568,0
2633,0
48924,0
41046,5
12439,7
6535,4
25969,0
29721,9
8570,1
20749,8
17463,7
82,4
15547,7
8222,8
17445,5
33419,0
30640,8
25965,9
14110,1
46412,7
28995,5
6685,2
5167,6
25521,8
14327,2
6076,7
31737,1
29091,9
34124,2
18983,5
43881,5
37116,4
31843,4
37057,3
34833,5
29994,6
47303,9
463,2
11815,2
31641,5
23552,2
43125,0
8699,6
36407,7
18443,7
45349,0
21826,3
10810,8
48500,8
37060,8
13710,0
37859,7
39858,6
32609,8
20931,1
28887,0
2054,5
42699,8
6727,9
4988,8
27676,2
4231,4
31538,9
8466,6
45512,4
41298,8
27607,1
1330,5
35062,7
2695,4
35772,3
2212,8
42612,7
48539,1
38734,8
3328,3
2548,9
29065,4
42956,6
4880,2
18818,4
38160,5
19859,0
31460,3
27949,9
19920,3
23623,5
43037,0
1434,0
38914,8
35265,5
44310,8
23654,4
9633,4
18426,6
25559,3
43927,4
21389,4
35278,6
15458,6
44907,8
9432,9
4508,9
37097,6
7281,8
7224,3
25370,7
21269,7
13157,8
2594,3
144,2
12186,9
5995,7
2252,6
49853,6
35933,1
13891,2
6448,2
45517,4
48802,6
797,7
43577,6
6580,5
44134,1
41177,6
4609,1
23984,0
16643,5
29275,1
23686,6
9515,6
37335,8
35711,2
20847,6
11216,0
12207,8
45457,0
36415,0
40324,9
10000,1
44986,7
48649,7
36952,5
21853,4
8068,4
48497,6
36984,6
13540,7
45292,7
11336,1
9772,5
32682,3
41986,1
11022,0
35539,8
15980,5
30195,7
34612,6
13119,7
8247,4
4646,8
49348,1
3531,9
9147,4
21041,4
44070,2
21470,9
47977,5
49195,8
34234,0
23169,9
38965,7
22327,7
37960,4
2202,2
26569,6
18693,8
32022,0
3215,8
26664,8
41707,6
25840,5
31781,5
49183,7
15448,3
32995,7
9453,7
18926,1
26019,2
9881,0
34835,3
36811,7
14781,4
8986,3
1992,4
42963,8
49854,6
46888,8
41433,1
33912,5
20741,7
40942,7
43520,1
3268,8
25417,6
17622,7
42658,1
23640,8
48601,3
33897,1
9184,7
18819,2
35776,7
24183,8
22121,7
17860,1
704,8
37765,3
23166,9
29861,3
3283,4
14761,2
31202,8
9538,1
26438,8
1822,8
19813,4
10262,4
33941,1
39255,7
9390,0
11478,2
7966,8
46124,6
30517,0
16628,3
20758,0
17339,2
