cifar_index,label
27619,3
22238,0
18659,0
31992,7
45469,5
1409,2
28224,2
3657,9
4585,1
9719,7
8602,9
8983,6
18019,9
9265,8
4388,3
27160,9
20145,2
24582,4
15109,2
30677,4
36781,3
21971,1
19510,4
46364,7
8571,1
41543,8
36693,0
12760,9
47337,0
24840,5
17549,7
17442,8
23559,2
37239,1
22110,3
3194,3
20424,0
13407,9
24678,1
29120,1
12633,7
29452,5
48779,2
41948,1
38786,6
40698,9
44111,7
42926,8
49372,8
41142,6
41718,5
3910,3
31156,7
42453,7
35540,8
42771,7
32006,3
46498,8
17236,5
38521,3
43646,1
26013,9
21688,9
6413,9
32631,0
14905,4
16827,3
2524,9
46673,2
25191,0
45412,0
14389,8
32184,5
7555,2
28170,4
5991,7
45193,2
38542,1
4922,5
23274,9
20659,4
31048,0
4038,2
47411,2
21885,2
4638,9
20220,2
7657,9
36617,5
19376,2
21779,4
31421,6
3403,6
39819,0
49828,8
33600,3
10760,5
48014,2
4483,3
14735,3
16167,8
8771,1
40480,2
31343,2
28664,2
29106,6
3389,7
31669,1
29535,7
27917,9
26484,8
22733,2
29315,1
33731,6
17242,7
4931,2
34752,4
38979,4
38768,9
9335,1
45204,7
6215,5
42993,2
2405,7
36592,7
21198,5
48524,3
21789,4
14567,0
14484,4
22652,9
39019,2
48797,5
18878,9
48488,4
33202,0
43351,4
22985,4
47016,2
42940,5
41368,1
16119,3
15318,0
21917,6
44721,0
44992,1
20353,1
31571,9
38628,0
22928,7
44932,0
45624,4
32691,8
1302,7
45788,8
20115,6
11810,4
20499,7
32461,8
8259,3
29426,6
47880,7
43866,5
37084,6
46160,3
19459,5
48853,7
19006,4
7667,3
16737,9
46812,3
15701,5
35402,9
608,0
6609,0
27431,0
27532,8
41150,7
29610,4
49117,3
20531,3
23235,3
41390,7
38180,7
15187,9
5687,8
16170,9
43536,7
43347,5
4433,7
18982,9
48333,8
10429,5
4185,1
24798,2
32331,8
47598,7
17408,7
14104,4
20421,5
44293,5
46976,3
38996,2
6485,4
361,6
46293,2
11294,3
18017,7
23040,6
32010,6
3520,2
42095,7
15020,7
31866,4
870,8
11267,5
41544,9
46902,0
5395,9
21864,3
30890,7
10253,6
32980,3
49966,6
29032,5
1210,6
32163,9
3211,0
43447,1
12101,6
31821,2
5817,2
6932,6
23063,3
24163,0
25754,8
49688,9
10491,1
48834,3
5586,3
12853,3
37969,2
34725,6
20604,8
8650,9
42422,9
30779,3
30201,5
634,9
21547,1
19893,9
25424,3
49388,8
33155,7
24692,8
11994,4
36074,3
19804,0
47471,6
5296,2
1472,9
39347,5
18745,0
5056,9
6525,9
43453,1
10287,9
49150,1
27360,9
22582,4
32357,8
