label,sentence,sample_index
0,starts out with tremendous promise introducing an intriguing and alluring premise only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter,0
1,the director mark pellington does a terrific job conjuring up a sinister menacing atmosphere though unfortunately all the story gives us is flashing red lights a rattling noise and a bump on the head,1
1,this is a fascinating film because there is no clear cut hero and no all out villain,2
0,mr wollter and ms seldhal give strong and convincing performances but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion grief and fear,3
1,the film is reasonably entertaining though it begins to drag two thirds through when the melodramatic aspects start to overtake the comedy,4
0,this is a monumental achievement in practically every facet of inept filmmaking joyless idiotic annoying heavy handed visually atrocious and often downright creepy,5
1,a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault the film is less successful on other levels,6
0,a beautifully shot but dull and ankle deep epic,7
0,stevens is so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits,8
0,ultimately too repellent to fully endear itself to american art house audiences but it is notable for its stylistic austerity and forcefulness,9
1,it s an ambitious film and as with all ambitious films it has some problems,10
0,it just goes to show an intelligent person is n t necessarily an admirable storyteller,11
0,a great script brought down by lousy direction,12
0,a straight ahead thriller that never rises above superficiality,13
0,there is n t one moment in the film that surprises or delights,14
0,it leers offering next to little insight into its intriguing subject,15
0,ozpetek offers an aids subtext skims over the realities of gay sex and presents yet another tired old vision of the gay community as an all inclusive world where uptight middle class bores like antonia can feel good about themselves,16
0,a baffling mixed platter of gritty realism and magic realism with a hard to swallow premise,17
1,a gorgeously strange movie heaven is deeply concerned with morality but it refuses to spell things out for viewers,18
0,unless bob crane is someone of particular interest to you this film s impressive performances and adept direction are n t likely to leave a lasting impression,19
1,the observations of this social economic urban environment are canny and spiced with irony,20
1,director carl franklin so crisp and economical in one false move bogs down in genre cliches here,21
0,an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike,22
1,sayles has a knack for casting often resurrecting performers who rarely work in movies now and drawing flavorful performances from bland actors,23
0,nothing about them is attractive,24
1,evokes a palpable sense of disconnection made all the more poignant by the incessant use of cell phones,25
0,a well intentioned effort that s still too burdened by the actor s offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility,26
1,sparkling often hilarious romantic jealousy comedy attal looks so much like a young robert deniro that it seems the film should instead be called my husband is travis bickle,27
0,an occasionally interesting but mostly repetitive look at a slice of counterculture that might be best forgotten,28
0,the setting turns out to be more interesting than any of the character dramas which never reach satisfying conclusions,29
0,for all its social and political potential state property does n t end up being very inspiring or insightful,30
0,a boldly stroked luridly coloured uni dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain,31
0,there is no solace here no entertainment value merely a fierce lesson in where filmmaking can take us,32
0,a handsome but unfulfilling suspense drama more suited to a quiet evening on pbs than a night out at an amc,33
0,the film is ultimately about as inspiring as a hallmark card,34
0,this picture is murder by numbers and as easy to be bored by as your abc s despite a few whopping shootouts,35
0,a good natured ensemble comedy that tries hard to make the most of a bumper cast but never quite gets off the ground,36
1,a creepy intermittently powerful study of a self destructive man about as unsettling to watch as an exploratory medical procedure or an autopsy,37
0,the heedless impetuousness of youth is on full irritating display in this meandering and pointless french coming of age import from writer director anne sophie birot,38
0,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification,39
1,the best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites,40
1,a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters,41
1,the dangerous lives of altar boys take on adolescence feels painfully true,42
1,though the film is well intentioned one could rent the original and get the same love story and parable,43
1,the movie is so thoughtlessly assembled,44
0,with tiny little jokes and nary an original idea this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool,45
1,spirit is a visual treat and it takes chances that are bold by studio standards but it lacks a strong narrative,46
1,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,47
1,there s undeniable enjoyment to be had from films crammed with movie references but the fun wears thin then out when there s nothing else happening,48
0,has all the complexity and realistic human behavior of an episode of general hospital,49
0,there s a persistent theatrical sentiment and a woozy quality to the manner of the storytelling which undercuts the devastatingly telling impact of utter loss personified in the film s simple title,50
1,exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza,51
0,it looks good sonny but you missed the point,52
1,too daft by half but supremely good natured,53
1,a uniquely sensual metaphorical dramatization of sexual obsession that spends a bit too much time on its fairly ludicrous plot,54
0,soulless and even more damning virtually joyless xxx achieves near virtuosity in its crapulence,55
1,the last scenes of the film are anguished bitter and truthful,56
1,director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon but showtime s uninspired send up of tv cop show cliches mostly leaves him shooting blanks,57
0,it s a frightful vanity film that no doubt pays off what debt miramax felt they owed to benigni,58
1,a flick about our infantilized culture that is n t entirely infantile,59
0,priggish lethargically paced parable of renewal,60
1,wise and deadpan humorous,61
1,as an introduction to the man s theories and influence derrida is all but useless as a portrait of the artist as an endlessly inquisitive old man however it s invaluable,62
0,while the humor aspects of jason x were far more entertaining than i had expected everything else about the film tanks,63
1,the film works due mostly to the tongue in cheek attitude of the screenplay,64
1,shyamalan turns the goose pimple genre on its empty head and fills it with spirit purpose and emotionally bruised characters who add up to more than body count,65
1,if anything the film is doing something of a public service shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans,66
0,but the movie that does n t really deliver for country music fans or for family audiences,67
1,got some good organic character work lots of obvious political insights and little room for engaging imaginative filmmaking in its nearly 2 1 2 hour dissipated length,68
1,i enjoyed the movie in a superficial way while never sure what its purpose was,69
1,rock solid family fun out of the gates extremely imaginative through out but wanes in the middle,70
0,boasts eye catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome,71
0,as the mediterranean sparkles swept away sinks,72
0,over and over again,73
0,an absurdist spider web,74
0,swinging the film makes it seem is not a hobby that attracts the young and fit,75
1,talk to her is so darned assured we have absolutely no idea who the main characters are until the film is well under way and yet it s hard to stop watching,76
1,she is a lioness protecting her cub and he a reluctant villain incapable of controlling his crew,77
0,a muted freak out,78
1,walter hill s undisputed is like a 1940s warner bros,79
0,an uneasy mix of run of the mill raunchy humor and seemingly sincere personal reflection,80
1,the rare imax movie that you ll wish was longer than an hour,81
1,despite the surface attractions conrad l hall s cinematography will likely be nominated for an oscar next year there s something impressive and yet lacking about everything,82
0,the movie has a script by paul pender made of wood and it s relentlessly folksy a procession of stagy set pieces stacked with binary oppositions,83
0,strong filmmaking requires a clear sense of purpose and in that oh so important category the four feathers comes up short,84
0,but what is missing from it all is a moral,85
0,once he starts learning to compromise with reality enough to become comparatively sane and healthy the film becomes predictably conventional,86
0,think the lion king redone for horses with fewer deliberate laughs more inadvertent ones and stunningly trite songs by bryan adams the world s most generic rock star,87
0,but there s plenty to offend everyone,88
1,foster breathes life into a roll that could have otherwise been bland and run of the mill,89
0,blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood s dirty harry period,90
1,alan and his fellow survivors are idiosyncratic enough to lift the movie above its playwriting 101 premise,91
0,a devastating indictment of unbridled greed and materalism,92
0,a hit and miss affair consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped,93
0,has all the scenic appeal of a cesspool,94
0,diane lane s sophisticated performance ca n t rescue adrian lyne s unfaithful from its sleazy moralizing,95
0,carrying this wafer thin movie on his nimble shoulders chan wades through putrid writing direction and timing with a smile that says if i stay positive maybe i can channel one of my greatest pictures drunken master,96
0,although sensitive to a fault it s often overwritten with a surfeit of weighty revelations flowery dialogue and nostalgia for the past and roads not taken,97
0,the movie does such an excellent job of critiquing itself at every faltering half step of its development that criticizing feels more like commiserating,98
1,an improvement on the feeble examples of big screen poke mania that have preceded it,99
1,what one is left with even after the most awful acts are committed is an overwhelming sadness that feels as if it has made its way into your very bloodstream,100
0,grant is certainly amusing but the very hollowness of the character he plays keeps him at arms length,101
1,directing with a sure and measured hand haneke steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology,102
0,proves a lovely trifle that unfortunately is a little too in love with its own cuteness,103
1,it throws quirky characters odd situations and off kilter dialogue at us all as if to say look at this,104
0,until its final minutes this is a perceptive study of two families in crisis and of two girls whose friendship is severely tested by bad luck and their own immaturity,105
0,but the feelings evoked in the film are lukewarm and quick to pass,106
1,most consumers of lo mein and general tso s chicken barely give a thought to the folks who prepare and deliver it so hopefully this film will attach a human face to all those little steaming cartons,107
1,where janice beard falters in its recycled aspects implausibility and sags in pace it rises in its courageousness and comedic employment,108
1,there s absolutely no reason why blue crush a late summer surfer girl entry should be as entertaining as it is,109
0,a perfect example of rancid well intentioned but shamelessly manipulative movie making,110
1,this cinema verite speculation on the assassination of john f kennedy may have been inspired by blair witch but it takes its techniques into such fresh territory that the film never feels derivative,111
1,there s nothing more satisfying during a summer of event movies than a spy thriller like the bourne identity that s packed with just as much intelligence as action,112
0,it should be interesting it should be poignant it turns out to be affected and boring,113
0,spain s greatest star wattage does n t overcome the tumult of maudlin tragedy,114
0,director jay russell weighs down his capricious fairy tale with heavy sentiment and lightweight meaning,115
1,while this movie by necessity lacks fellowship s heart two towers outdoes its spectacle,116
1,made eddie murphy a movie star and the man has n t aged a day,117
0,the acting is fine but the script is about as interesting as a recording of conversations at the wal mart checkout line,118
0,a thriller without thrills and a mystery devoid of urgent questions,119
1,works as pretty contagious fun,120
1,as i settled into my world war ii memories i found myself strangely moved by even the corniest and most hackneyed contrivances,121
0,gaghan captures the half lit sometimes creepy intimacy of college dorm rooms a subtlety that makes the silly over the top coda especially disappointing,122
0,brainless but enjoyably over the top the retro gang melodrama deuces wild represents fifties teen gang machismo in a way that borders on rough trade homo eroticism,123
0,its plot and animation offer daytime tv serviceability but little more,124
1,a screenplay more ingeniously constructed than memento,125
0,the movie turns out to be assayas homage to the gallic tradition of quality in all its fusty squareness,126
1,ultimately mib ii succeeds due to its rapid fire delivery and enough inspired levity that it ca n t be dismissed as mindless,127
1,this 90 minute postmodern voyage was more diverting and thought provoking than i d expected it to be,128
1,the production design score and choreography are simply intoxicating,129
0,the gifted crudup has the perfect face to play a handsome blank yearning to find himself and his cipherlike personality and bad behavior would play fine if the movie knew what to do with him,130
1,the mark of a respectable summer blockbuster is one of two things unadulterated thrills or genuine laughs,131
0,the original was n t a good movie but this remake makes it look like a masterpiece,132
1,i walked away from this new version of e t just as i hoped i would with moist eyes,133
1,he drags it back single handed,134
1,plus like i already mentioned it s robert duvall,135
1,what does n t this film have that an impressionable kid could n t stand to hear,136
0,not only does the thoroughly formulaic film represent totally exemplify middle of the road mainstream it also represents glossy hollywood at its laziest,137
0,a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff,138
1,methodical measured and gently tedious in its comedy secret ballot is a purposefully reductive movie which may be why it s so successful at lodging itself in the brain,139
1,while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo jumbo broad streaks of common sense emerge with unimpeachable clarity,140
1,drumline is the mere suggestion albeit a visually compelling one of a fully realized story,141
0,feel free to go get popcorn whenever he s not onscreen,142
0,maid in manhattan proves that it s easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies,143
1,whenever you think you ve figured out late marriage it throws you for a loop,144
1,and the positive change in tone here seems to have recharged him,145
1,digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations,146
1,hard to resist,147
1,an ambitious movie that like shiner s organizing of the big fight pulls off enough of its effects to make up for the ones that do n t come off,148
0,well this movie proves you wrong on both counts,149
1,unlike most anime whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes metropolis never seems hopelessly juvenile,150
0,it s so crammed with scenes and vistas and pretty moments that it s left a few crucial things out like character development and coherence,151
0,but this new jangle of noise mayhem and stupidity must be a serious contender for the title,152
0,franco is an excellent choice for the walled off but combustible hustler but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic,153
1,williams absolutely nails sy s queasy infatuation and overall strangeness,154
1,it is an unstinting look at a collaboration between damaged people that may or may not qual,155
1,raimi and his team could n t have done any better in bringing the story of spider man to the big screen,156
1,gets better after foster leaves that little room,157
1,an old fashioned drama of substance about a teacher s slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue,158
1,return to never land may be another shameless attempt by disney to rake in dough from baby boomer families but it s not half bad,159
0,a film of empty fetishistic violence in which murder is casual and fun,160
0,like being able to hit on a 15 year old when you re over 100,161
0,roman polanski directs the pianist like a surgeon mends a broken heart very meticulously but without any passion,162
1,dark and unrepentant this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten,163
0,the film falls short on tension eloquence spiritual challenge things that have made the original new testament stories so compelling for 20 centuries,164
0,a film which presses familiar herzog tropes into the service of a limpid and conventional historical fiction when really what we demand of the director is to be mesmerised,165
1,watching austin powers in goldmember is like binging on cotton candy,166
0,nevertheless it still seems endless,167
1,i m guessing the director is a magician,168
0,a mechanical action comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences,169
1,a quiet disquieting triumph,170
1,an alternately fascinating and frustrating documentary,171
0,the author s devotees will probably find it fascinating others may find it baffling,172
0,though there are many tense scenes in trapped they prove more distressing than suspenseful,173
0,there s an excellent 90 minute film here unfortunately it runs for 170,174
0,its one sidedness flirts with propaganda,175
0,jackson and bledel seem to have been picked not for their acting chops but for their looks and appeal to the pre teen crowd,176
0,a rehash of every gangster movie from the past decade,177
1,changing lanes tries for more,178
1,every once in a while a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most the fanboy,179
1,mostly goldbacher just lets her complicated characters be unruly confusing and through it all human,180
0,pays tribute to heroes the way julia roberts hands out awards with phony humility barely camouflaging grotesque narcissism,181
0,and people make fun of me for liking showgirls,182
1,it all plays out like a high end john hughes comedy a kind of elder bueller s time out,183
0,at best this is a film for the under 7 crowd,184
1,what sets this romantic comedy apart from most hollywood romantic comedies is its low key way of tackling what seems like done to death material,185
0,they crush each other under cars throw each other out windows electrocute and dismember their victims in full consciousness,186
0,more trifle than triumph,187
0,this tale has been told and retold the races and rackets change but the song remains the same,188
