label,sentence,sample_index
5,"Where does the term Grid Iron originate and how did it get applied to a football field.? ; What is the original meaning of gridiron. Who applied it to a football field and why? ; Hi there...\n\nHere is the answer I found from the Word Detective site:\n\nThe use of ""gridiron"" as a metaphor for the football field, and, by extension, to the game itself, dates back to 1897. The original ""gridirons"" were just that: grids made of iron, used to cook fish or meat over an open fire. Early on in the history of football, someone in the cheap seats high in the stadium must have noticed that the parallel yardlines marking the field resembled a ""gridiron,"" and so the metaphor was born. The first use of this sense of ""gridiron"" in print came in an account of the annual Harvard-Yale game carried in the Boston Herald.",0
5,Need help fixing my yahoo web page? ; I am having problem with the yahoo website. I am having problem staying log in. I am not able to log into my fantancy football. It all started a couple days ago. I logged in under my uncles name and now everytime I try to log in under my name and it wont do it. I log in and go into it and it is still logged in under my uncles. So I try to log out of his and it wont do it. So it has been like this since sunday.  All of the info that was there on sunday is what is there when I get on today. So can anyone help me. ; clear your cache/cookies....make the computer forget what it was doing on that website..\n-nny,1
5,"How hard is it to become a sports agent? ; For aspiring agents, how is the entertainment law field? ; Very very hard, a very Small circle for those who work hard. Contractual law and the firms that practice such are mega bucks society, good luck: On your own it's very very hard., Join a firm large firm and it's easier because you have a team!",2
3,"my hs son plays two hs sports-hardly find time for h/w - i want to send him to prep school to imprv his grades ; I want him to have a high SAT/ACT as well high GPA to go in to college. I hear that prep boarding schools can be expensive. I need help! ; I know this will sound cold and uncaring but really it's not.\nIf he's having probs with sports and keeping grades up...take away the sports privileges. School work should be his main focus, then sports.\nMy son is in a couple of school activities and I've told him he either keeps his grades up or he loses the other activities.\nMy nephew is in ROTC, he has the same rule...keep the grades and homework up and done and turned in or you lose the courses you WANT for the ones you NEED. \nI think we all want our kids to do well in school, I do.\nKNOWLEDGE FIRST...then extra school activities.\nHope you find something that works.",3
2,"What would you do? ; I have an opportunity to take over a business in the Womans Health Field, with a solid cash flow but part of the deal means I must take over an additional location that has a negative cash flow. I have enough money to pay for the business and a little left over to satisfy a shortfall in operating cash flow of just the one. I did not factor anything in for the second location with a negative operating cash flow. The crunch is that I can not have one without the other. The important thing is to know that I am only short operating capitol for one location....should I take a gamble?...all stats indicate that it has a 50/50 chance of surviving if just anyone took over and a 70% chance of survival with my business experience placed in the equasion. Without the second location it has a 100% chance of survival. What would you do? ; go for it you wont no unless you try i hope everything works out well for you",4
4,"Out of all the schools in Nigeria that have computers, how many have internet access? ; I'm looking into some overseas development ideas. Do you know roughly what percentage have internet access (most or just a few)? ; my school in nigeria had internet service, it is the best school i have seen till today...",5
5,why do i keep getting booted to this page when i'm playing pool? ; I constantly keep getting bumped to the Yahoo answer page when i'm playing in the pool rooms and it is really annoying. Any one know why it does it? ; that is a wierd one.,6
5,what is my 12-04-2006 Horoscope? ; how my love relations will be going on in future ; What the question is doing in the sports section????,7
2,I was astudent who got more than 96% in 10th grade but today I am in 12th grade and Iam unable to go over 70%. ; This is because I have let my hormones take over mein this teen age.I am not concentrating on my studies. Please tell me how to concentrate completely on my studies and my IIT exam is just 5 months away ; are just shut ur comp and all down if u r really serious y wont see the next asnswer\ntry to do nothing \nand take studies as time pass not burdon\nfuck iit if u dont get it\ni m in nit after studying for iit jee i dont find nit bad at all,8
5,"Will any one tell me Sachin's e-mail address or phone no.? ; Dont write check in the players page at cricinfo.com ; here u go\nsachin@nevermailme.end\nphone: 022- xxxxxxxx (just 8 nos, try ur best cracking them\naddress: search in all posh areas of mumbai(flats in particular) - u can spot him some day",9
4,"I need an answer to College course question? ; Other systems on your network can ping the default gateway and access each other. However, your system can access local resources, can ping the default gateway, but cannot access remote systems. You have already eliminated hardware-caused problems. What is a likely cause of this problem? ; Sounds like the routing table needs to be updated. A router connects two networks.\n\nYour system can ping the router and your local resources.\n\nThe remote system can ping the router and access their local resources.\n\nBut the two networks cannot contact each other. The routing table in the router is what facilitates the two networks contacting each other. It tells where other PC's are on other networks. Without this, a PC wouldn't know where other PC's are on other networks and couldn't talk. Which is what's happening.",10
5,"Top 5 Things to Do, Places to Go at Louisiana State University? ; 4 guys doing a college football weekend.  Looking for bars, restaurants, campus sites, etc. ; help hurricane victims it will be very worth while",11
