label,sentence,sample_index
4,"i copy a lot from cd to cd. i find that writing  begins at a good rate, then slows? ; or comes to a near halt. i have lots of memory available, no apparent bugs in my system. is it time for a new burner? could it be a prob w/ my nero burning program . please help a total pc rookie! ; Try defraging your computer: Start button- Programs- Accessories- System tools - Disk defragmenter. \n\nYou files may be broken up all over your hard drive and it has to look over your whole hard drive to find the last files, that is what may be causing the slowdown, or you have things running in the background of windows that suddenly needed memory causing it slow down. Press ctrl+ alt + delete and if you have XP you will see a tab on the task manager for performance, have a look at that next time you burn, see if anything spikes.",10
5,"Any results on ufc spike tv? ; Want to bet my friends ?Be nice to know where to put my $$$ on the winner ; Lutter totally imposed his gameplan on Patrick Cote, took him down as Cote attempted a to stand back up Lutter caught him in an armbar. \n\nMatt Sera won a decision over Chris Lytle, I think Lytle fought well but matt was constantly the agressor dispite the fact the Lytle (the striker) constantly stuffed his jui-jitsu attempts that would have smothered a lesser opponent, it was a decision surrounded by contraversy as serra was booed constantly during the trophy presentation and even had the balls to call the current Welterweight Champion Matt Hughes a ""Fu.cking D.ckhead"". \n\nJorge Rivera mounted an excellent standup offense forcing Edwin ""Bam Bam"" Deewees into the cage taking punishment and although he took very little if any actual damage he made no attempt to be offensive or even better his position forcing the referee to end the fight\n\nThales Leites faced Martin Kampmann. Heavily hyped fighters can have a huge impact on the sport (Anderson Silva), while others are just that... hype (Sean Gannon). Thales Leites had quite a bit of hype coming into his bout with Martin Kampmann, but the Brazilian was unable to live up to the fans' anticipation after gassing out late in the first round and getting knocked around for the remainder of the fight. Kampmann looked very good with his stand-up, and to Leites credit, he withstood a world of punishment in the second and third rounds without being finished. At the end of the day, Martin Kampmann is the fighter walking out still undefeated in the UFC, while Leites heads back to Brazil to figure out what went wrong.\n \nIn what was one of the most exciting fights in recent UFC history, Scott “Hands of Steel” Smith squared off with his good friend from the show, Pete “Drago” Sell. This fight was taped as a preliminary bout earlier in the night and aired during the Spike TV broadcast. \n\nOn paper, it seemed like Sell would want to take the fight to the ground, where he would have the advantage over Smith, but it was much the opposite as these two threw everything, including the kitchen sink, at each other while standing up. They both smiled continuously as they pounded on one another and at the end of the first round, they hugged and almost looked like they were going to the same corner after the round. The second round saw much of the same but with a couple of minutes remaining, Pete Sell landed a very big shot to Scott Smith’s ribs, causing him to buckle and stumble towards the corner. Just as Smith fell to one knee and “Drago” moved in for the kill, the former WEC Light Heavyweight Champion mustered just enough strength to throw one more punch, and in dramatic fashion he absolutely floored Sell with the shot. Just barely having the strength to jump up and finish the fight, Smith instantly crumbled afterwards, holding his stomach in obvious pain. There’s not much of a chance that the UFC won't bring back both of these fighters after what has to be considered fight of the night.\n\nAlso, Rich “No Love” Clementi and Din Thomas put on an action packed fight, as the 155-pound fighters usually seem to do. The fight remained standing for a big part of the first round with Clementi throwing heavy shots but Thomas was the definitively better striker, landing the crisper punches throughout. \n\nIn the 2nd round, the action was moving at a feverish pace and Thomas was able to truly display how much his stand-up game has advanced when he picked Clementi apart. After a few heavy shots, Thomas moved to take Clementi’s back, where he secured a rear naked choke, forcing the submission and getting the win. Din Thomas is just another very dangerous opponent in an already stacked UFC lightweight division, but he made no bones about who he wants next when he called out UFC Lightweight Champion Sean Sherk, saying that Sherk had his title.",13
9,Will immigration slow down if Americans stop bragging about how much rights we enjoy? ; Maybe when Bush apply more restrictive 'laws' immigrants will go to Canada instead. ; Bush and his rich business tycoon friends don't want to lose their cheap labor.,18
5,"looking for this video? ; Anyone know where to find the video referenced in this article?\n\nhttp://sports.yahoo.com/nascar/news;_ylt=AruNUMoZ4HxJPlnIQkfDOiXov7YF?slug=ap-nascar-inthepits&prov=ap&type=lgns ; I've been looking too, hope to get back to you.\n\nGood job SJ_Girl!!",23
0,"How does a wiccan choose their pantheon? ; I need help choosing a pantheon of gods and goddesses! How does someone studying to practice The Craft choose one? Is it even necessary?  My big thing is that I like some of the Roman dietes, the Greek dietes, and Egyptian dietes, but I read somewhere that one should not mix pantheons. Is this true? ; I think it's a matter of personal preference. I know many Pagans who don't choose specific deities and others who do. Personally, I worship Bast as my patron Goddess simply because, in most things, she most closely represents my personal beliefs and preferences. That doesn't mean that I haven't asked for assistance from others, or paid them tribute, at different times. I tend to think of the Green Man as my patron God just because it feels right, and I find that a lot of the time you should end up doing what feels right. I don't think it's something you should worry too much about since most Pagans believe that all of the Gods are aspects of the same, and all the Goddesses aspects of the same. For that matter, most Pagans tend to believe that they are all aspects of the same deity and we simply think of a male and female being because it's easier for us to comprehend that way. So do what's right for you. Pick a pantheon, don't pick one, mix pantheons... They'll be there for you regardless.",25
9,"my file to remove conditional green card has been denied, what are the deportation laws concerning this.? ; i am currently married to a u.s. citizen and living in u.s. with a conditional green card.  i filed papers to remove my conditions  on my green card and it have been denied.  i am currently in review for deportation.  what are my legal rights, and how will immigration laws effect my return to the u.s. in 6months. ; Look, you've been farting around for six months, now you post here.  I've got an idea...... Consult with an attorney who specializes in immigration matters.  You really need one, believe me.",26
2,"i can't sleep at night i don't drink caffine though.? ; I'm 12 and i want my sleep! i want to grow :) but i CAN'T SLEEP. i feel uncomfortable and my heart rate goes fast and i breathe hard it bothers me so much. whats wrong with me? does fast metabolism cause this? ; Your metabolism determines how much energy you expend while at rest; it does not determine how well you sleep.\n\nI'll give you some pointers on getting a better night's sleep. If these ""sleep hygiene"" tips don't work, you may wish to consult a doctor.\n\n1. Avoid caffeine. It sounds like you're already doing this, so good for you! (I'm posting this advice anyway in case others are having similar problems.) Also avoid smoking (as nicotine is a stimulant) and drinking alcohol (which interferes with natural sleep) before bedtime.\n\n2. Try to go to bed and get up the same time each day, even if you don't have to (e.g., on weekends). This will help your body establish a stable sleep schedule.\n\n3. Turn the lights down about an hour before your bedtime. Light sends signals to your brain that it should be awake, and this is not the message you want to send if you want some sleep!\n\n4. Exercise regularly! But avoid exercising a few hours before your bedtime.\n\n5. Take a warm bath or shower before bed. This will help relax you.\n\n6. Drink milk shortly before bedtime, or eat some turkey. Both of these foods contain substances that help promote sleep. Some people have reported success with taking melatonin.\n\n7. Do not use your bed to watch TV, play video games, read, or do your homework. You want your brain to associate being in bed with going to sleep, not other activities.\n\n8. If you find you cannot sleep, don't stay in bed and get anxious about how much sleep you're missing. Instead, get up, and find some relaxing activity you can do (e.g., reading) under dim light until you begin to feel drowsy again.\n\n9. Be careful about taking sleep-inducing medications, as these can be habit-forming and also interfere with the REM (dream) phase of sleep, which is the most refreshing part of sleep.\n\nGood luck!",27
2,"I need a good workout routine as I have recently gained a lot of weight.? ; I am in the second year of college and have stayed at a normal weight of 120-125 ever since I was 13. (I am 5'3.5"".) However, with finals coming up and the abundance of food, I was under a lot of stress and my appetite increased a lot. I gained 10 pounds in 2 months. I have tried cutting back on calories but I have no will power as my appetite is out of control and I am constantly hungry and eating twice as much as I used to. I tried walking on the treadmill for 20 minutes but it made me sore and gave me horrible joint pain. I am on Accutane (last month) and haven't worked out (neither cardio, sports or weight lifting) for a few years now. What would be a good way to lose weight and get in shape? I am looking for beginner workout routine and diet where I will see results but it will not stress out my body badly. Also I am limited with time. I am a 19 year old female, 5'3.5"" and weigh about 135-140 now. My goal is to get down to 115 lbs. Thanks! ; You can go to Ross or Marshalls and pick up a really cheap exercise tape. They have fun ones like belly-dancing, or intense cardio work-outs. Choose one that you think you will actually enjoy doing everyday. I bought a two-set of Pilates DVDs for only $7! It includes 8, 20 minute workouts. Hope this helps!...and good luck!\n:)",35
8,"my girlfriend broke up with me last night and nothing went wrong that i could see? ; i have no idea what happend...i need advice a girl...we never fought...we were like the couple that all our friends wanted to have and i treated her like gold and she treated me the same...but i work at target in mansfield and she just came up to me and asked for her ring back and i was like what...and she said some of her friends had told i was talking about personel stuff....about me and her...and that she couldnt do this any more? what went wrong? ; She either wasn't ready to get involve in a serious relationship or she is seeing someone else. in either case she was looking for an excuse to do that.\nI'm sure you done every necessary thing for her but there are always people around your GF will have something to talk about and poisoning her mind.\nunfortunately it doesn't end there, after breaking up, you will be accused  about stuff you never did and you never said, and most of it about stuff you never meant it that way, so they start lying and making accusations in order to have a proof and good excuses for their act among their family and friends, and that's where all nicest things you have done for her, all wonderful moments you had with her, all pain you took for just being with her, fades away just like that. all of a sudden you become this cruel and nasty person in eyes of others,who hurt her all these times and now you better be away from her, because you are noting but pain for her.\nI have one thing to tell you: Don't blame yourself, she is an idiot. we all fall in love, we learn then we should move on.",36
4,"iexplore exe as system when window startup? ; When I startup my windowXP, Internet explore always preload in memory as SYSTEM user. I cannot terminate the process because it will auto restart as SYSTEM again. HOW to fix this? ; Not knowing what version of Windows you are using. Explorer uses IE to open up folders. that could be what you're seeing.",37
