label,sentence,sample_index
3,"i want to MBA,I have financial problem,can any suggest to where i can satisfy by any good college.? ; my name is mohammed shakeel,from bangalore. ; Why you want to do MBA?\nWhy there is financial problem?\nWhy you want a good college?\nThink, with your available resources what you can do the best. All jobs are important if well done.",4
9,LIBERALS - what is the best thing about being us? ; What is the best thing about being a liberal? ; Welfare and not having to shave your armpits.,5
1,"Marble Rollocoster? ; I am learning about Nutin's law an object going in a straight line will remain to until it is acted on. I am doing an obsticle corse for it in school, so does anyone know anything that will slow a marble down? ; A marble is a rolling mass.  The theory is that the marble rolls along and the area of the marble in contact with the surface it is rolling on is not slipping.\n\nAs the marble rolls along, the forces that act on it are \n\n1.  Gravity\n\n2.  Air resistance\n\nI recommend that you focus on gravity to create forces of predictable magnitude and direction.  You can use ramps and then apply Newton's laws and a little trig to calculate the force magnitudes and predict the motion of the marble. As long as you have a decent velocity without being too fast, air resistance will be negligible.\n\nI designed a simple track for you that you could make out of light plywood and some glue.\n\nThe track I propose will be a valley that is 2 meters long (a little over 6 feet) and 1/2 meter wide( 20 inches wide will give you some margin).  The valley sides are set at an angle of 30 degrees.  At one end of the valley at the top of the valley side set up a ramp that will inject a marble such that the direction of the velocity of the marble is straight with respect to the edge of the valley.  The height of the ramp will control the velocity of the.\n\nNow, consider a coordinate system that has x starting from the same end as the ramp and running parallel to the sides of the valley.  y is perpindicular to the sides of the valley.\n\nI created a variable, h, that is the vertical height of the starting end of the ramp with respect to the entry point of the marble.\nUsing conservation of energy, the velocity of the marble will be related through the equation:\n1/2*m*v^2=m*g*h\nv=sqrt(2*g*h)\n\nThe time it will take the marble to roll the length of the valley I set as t\nlength of the valley is 2m\nso 2m=v*t\nt=2/sqrt(2*g*h)\n\nWhen the marble enters the top edge of the valley it will have a velocity in the x direction of v as derived above.  This is your constant velocity since the only forces that will act on the marble in the x direction is air resistance, which we will assume to be negligible.\nSince the marble enters the valley near the top edge, it will be acted on by gravity to pull it down the edge.  If you have the marble enter the ramp at exactly .25m from the center, it reach the center of the ramp in time t'\nwhere \n.25=1/2*g*cos(30)*t'^2\nor t'=sqrt(.5/(g*cos(30))\n\nI thought it would be fun to consider an experiment where you control how many times the marble rolls across the center of the valley before exiting at the other end.\nThis I set as N\nNote that t/t'=N\nN=(2/sqrt(2*g*h))/sqrt(.5/(g*cos(30))\nN=2*sqrt(g*cos(30))/sqrt(2*g*h*.5)\nN=2*sqrt(cos(30)/h)\n\nThen I thought that it would be fun to set up an equation where we decide how many Ns we want according to how high we set the end of the ramp.  Sound like fun?\n\nN^2=4*cos(30)/h\nh=4*cos(30)/N^2\n(h is in units of meters)\nN   h(m)   h(inches)\n3    .385    15.15\n4    .0771   3.04\n\n\nHave fun.\n\nj",9
1,"How do you conceive a fraternal twin? ; i am just wondering, maybe, there is something that can be done, a sort of preparation for a woman (who wants to be impregnated) to have fraternal twins. ; Fertility treatments that promote ovulation may lead to multiple births.",55
8,"How do you move on from a broken long-distance relationship? ; I havebeen dating this guy that lives 1200 miles away for a year now, and he just broke up with me because he wanted me to move down there, and I wouldn't.  I still love him, how do I move on.  I feel so incomplete with out him in my life.  I know this is a common question, but I need special help on this one.  As soon as we broke up, another guy asked me out, and I don't know if I should take him up on his offer for fear of hurting him because I still love the other guy.  How do I move on, without deperately moving fro fling to fling? ; its  hard  i know  i  dated a  guy  fro  2 years and 3 months and  he  lived  2 hours  from me and  i end up finding out that he  cheated on me  for  8 months and that he was  heavy in drugs  and then  we  broke up  i dr y  but  that  dont matter  i took me  6 months to  get over the  fact that  we were  broke up and  that i t was time to  find someone else and u know what i found that  person i want to be with for the rest of my life but he  lives  300 miles from me and  we talk everynight and  everyday  so  i  know what he is  doing and  i know where he is  at  it  good to  have that  ablity  to  do that  b/c  most  guys  wont talk to their  girlfriends  everynight  or  everyday  if they  live that  far  but  ya  long distance relationships rnt  easy i know  b/c i  cry  everytime my  boyfriend lives  to go back home  when he come to visit for the  weekend  or whatever  but  we have been together  for a year and  8 months  now and  its  seeming to  work  out  good  but  hope  u  find someone  that  u can  be  with  for the rest of ur  life and  hopefully u  make a  good  desicion on that one  lol",64
3,"How can I get Education In England if I don't have so much money? ; How can I get Education In England If I don'y have so much money. ; have you tried learn direct? they have some good courses and most are free for people that qualify, im doing web designing through them and am getting on really well whats the harm of applying phone 0800 100 900 speak to an advisor and they will be able to help you.\nalso check out their website http://www.learndirect-advice.co.uk",77
5,"Tomas Sivok? ; He any good?? Celtic are interested in him ; Tomáš Sivok was born on September 15, 1983. He is of Czech Republic nationality and currently plays for AC Sparta Praha as a midfielder. He was fromally the captain of his country's national U21 side, and was linked to a transfer to AC Milan. However, in 2005, he got a serious knee injury which limited his progress to a bigger club. He is a talented czech player, so it is no wonder Celtic are interested in him",94
3,"I don't get it.....? ; Who can you flunk from absences? If you make straight A's all year how can they still flunk you? ; Well, a person who makes all A's would most likely be there most of the time.  It is part of the rules that you attend school. If you do not follow the rules, then they do have a right to do as they please.",98
8,"Why do my fiance and I fight? ; It seems like lately, both my fiance and I are more irritable and we argue much more than usual over the stupidest things. What's going on and how can I help resolve the fighting? He doesn't make any effort to kiss or hug me and be kind to me like he used to be. I have stopped asking for kisses from him even though a good morning, good night and good bye kiss is very important to me. I even left without asking for a kiss this morning to prove a point, but I don't think he even noticed. \n\nI have come to the point where I want to tell him if the fighting doesn't stop, and I don't get some of the affection I need, I'm calling it quits. ; There could be a million reasons.  As far as kisses, why do you have to ask.  Just go up and plant one on him.  If you feel that you fight over stupid stuff, then every time you get upset with him, just ask yourself... \n\n1. Will this matter next week?  \n\n2. Will this change anything in our relationship?  \n\n3. Do I love him enough to learn to accept (whatever it is that has you buggin) it? \n\n Next time you feel like fighting, give him a kiss and pull him into the bedroom.  If he picks the fight, just tell him ""I love you too much to fight with you, so if this means that much to you then fine, you're right.""\n\nLife's too short to sweat the small stuff.",117
0,"why is christianity the largest religion in the world? Why is it dominant among other cultures and religions? ; what reasons made christianity dominant among other cultures and religions...why it had expanded over the world...i'm not asking about sentiments in religion here...i'm asking exactly WHY christianity is dominant. Like, say, the Philippines hundreds of years ago was pagan but when the adherent Spaniards came to introduce Christianity, the people of the islands embraced it. And other similar situations where Christianity had expanded. Why it had overcome the former beliefs and former culture of the people who now embrace Christianity.... ; Based on the universal meaning of Christ I will present below, I hope this may better explain why so many people across time and cultures have come to adopt or accept Jesus Christ.  \n\nIf Jesus Christ is the universal Messiah for all people, who rejoins God and humanity as one, then Christ must represent the common love that joins all humanity as one by conscience -- all souls across time, all people of all tribes and nations.  Otherwise, anything less contradicts the meaning of a universal messiah whose sacrifice saves all souls by expunging collective sins and karma from the past that otherwise trap and divide us.\n\nThus if the Bible is true, it makes sense to me that at some point all tribes, nations and tongues -- all religions and even secular systems of thoughts -- will accept Christ in the process of reconciling all our hearts and minds to unify in the spirit of truth and love for all.  Whether we make this choice out of love, out of desperation when physical life fails us, or out of 'survival of the fittest,' history shows that people eventually choose what fulfills us all spiritually, which the message of Christianity offers.\n\nThe Scriptures prophesy that ""every knee shall bow and every tongue shall confess.""  And indeed all religions and even pre-Christian myths foretell that a spiritual Messiah will come to bring final salvation.  All religions have a different way of naming or describing this process.  For example, Buddha spoke of a Maitreya Buddha who would come once, and then return a second time to enlighten the world.  Even the goal of secular activists to work for the day that ""Justice will come"" is the same as Jesus coming to bring peace on earth.  And individuals or whole cultures who experience painful spiritual growth through a recovery or grieving process following great tragedy or loss, collectively go through the same process as Jesus dying on the cross to be resurrected. \n\nSince this is a universal theme across religions and cultures, it makes sense that Jesus Christ on the Cross serves as a central symbol of that ultimate break in the vicious cycle of karmic sin and suffering so that humanity can be reconciled with God, and spiritual harmony restored on earth as we visualize in heaven.\n\nAll people and all groups will need to come to a common understanding in Christ or by conscience in order to reach this final mature stage in our spiritual process.  But in that understanding, so will all religions and cultures be equally recognized and all included.  Christianity is not exclusive but all inclusive, so that the message calls to all people.\n\nNo one has to give up their past traditions in order to accept Christ, who ultimately fulfills any laws or teachings whether sacred or secular; but one has to understand the meaning of Christ in order to embrace all people and traditions equally as neighbors.  Because Christ serves as that universal link joining us all, that is why so many different people from different cultures and points in history have recognized and accepted Christ as a natural stage in human spiritual development.",125
6,"How much money do you make? ; How much money does everyone make? Just comparing my wages to others! ; about 17,000 a year.   I am also a mother (single) and a college student.  One day life will be better.",126
8,"How do you Like it? ; you know what i mean ; My Coffee? with cream and sugar, thanks.",133
5,Did Daniel St. John win the wrestling olympics? ; he may have won the silver medal ; He is not listed as an Olympic medalist on the official site:\n\nhttp://www.olympic.org/uk/athletes/results/search_r_uk.asp\n\nI found reference to him saying he was silver medalist in the 1998 World Cup in Freestyle Wresting.,137
2,"How do you get rid of lice? ; well I dont have it but my friend does \nand I dont want to catch it!!! ; I've heard if you use Prell shampoo you'll be less likely to get it from your friend. And hey, it's cheap too.",154
0,"Does the Sun shine at night? ; I know it does not seem like a spiritual or religious question, but trust me? ; ""Shine"" is an adjective. Shine must be viewed.\n\nWhile, logically, one would say the sun is shining at night, though at the other end of the world, for half of the world, it is not shining at all.\n\nThe answer is yes and no.\n\n- 16 yo Pagan",161
7,"I'm a taurus, who is in love with a cancer are we good together? ; I seem to attract cancer men of ages and I'm in love with a cancer...we seem to have the same values on life and i'm wondering would we be good together ; As long as your in love, that is all that matters.\nGo for it!",189
8,"What should I give to a 13 year old boy...? ; Okay, Everyone knows that it's almost Chirstmas! I sorta like this guy and I'm out of luck. His family is kind of poor. So I tried thinking about giving him an ipod, a DS but that's all I can think of! I thought about jewlery BUT what kind T_______T;; If some of you 13 - 15 year olds are out there PLEASE tell me what you would want. This person is really athletic and likes sports. And BY THE WAY, I AM KOREAN (south) HE IS TOO.... ; get him a yao ming jersey",190
1,how long do you have to be clinically dead before you can get a death certificate? ; could you like lose a pulse and be technically dead like no vitale signs or do you have to stay dead ; Clinically dead means you have no vital signs. Legally dead -to receive a death certificate- is diagnosed as being brain dead-no brain activity- by a qualified physician,197
8,"Sexual intercourse has almost ruined the world! How did it we all become its slave? ; I am worried because the youth is buried in imoral sex, the church leaders, the leaders in the mosques, in the work places, in the school systems, in governments, in all social life and in the homes children are now knowingly encouraged to sexuality.In politics and everywhere. HOW COME? ; WE DIDN'T FOLLOW GODS LAW.",202
9,"Why are conservatives against gay rights? Aren't they tired of being in the closet? ; They should save themselves the embarassment of being ""outed"". It's like Clarence Thomas saying he is against civil rights. If they were for gay rights, maybe their religious representatives wouldn't have to cover their homosexuality or try to hook up with underage pages, and perhaps Dick Cheney would be able to attend his lesbian daughter's wedding.... ; Their problem isn't sexual; it's the inability to psychologically reconcile your desires with your relentless internal self-loathing and your hypocritical public pious, judgment against people who don't have an issue with their own sexual orientation.  They live in a world of fear and self-loathing.",206
6,"Is there any way to earn some good cash fast? ; i'm 15 yrs old and i have school till 3, until the end of june and i don't have a car ; work fast and hard then you will earn good cash fast.",224
