label,sentence,sample_index
2,"How old are U what  is your gender and at what age you would like to die at, and what is your stand for that? ; I am 32 Male and I would like to die at when I will be at the age of 60 or whenever I will be surrounded by the painful diseases. ; 27/f  I work in the medical field (nursing home) so for ME I would not want to live past 70 inless I still have controll over my body and mind and I would rather have someone kill me then put me in a nursing home !!!",1
4,how do you change to wireless? ; i have wireeless connection in my house but this  computer will only work on the old connection how do i change it ; Use a wireless router and use a wireless card in your PC. It will work.,12
4,"How can I post a url link to my blog under my most popular videos on Dailymotion.com??? ; Do I have to use some specific html language or anything like that? ; yes\n\n<a href=""the url to where you want it to go here"">what you want the link to say here</a>",17
9,"How many Americans are enjoying that rich life? ; Is your pool nice? Do you love your mansion? Is it hard to count all your money? Is your job wonderful? Do you eat out most of the time even though you have a butler, maid and cook to do the job? Do you have life time Medical? Are all your bills paid?\n Or is it rough and getting rougher because of high costs of everything. And you feel you are struggling with basics of life (health,food,housing).\n Just want to see how many of the rich are here. Does  everyone has problems or not? ; no  i work hard and cant afford health insurance",24
0,"How does a wiccan choose their pantheon? ; I need help choosing a pantheon of gods and goddesses! How does someone studying to practice The Craft choose one? Is it even necessary?  My big thing is that I like some of the Roman dietes, the Greek dietes, and Egyptian dietes, but I read somewhere that one should not mix pantheons. Is this true? ; I think it's a matter of personal preference. I know many Pagans who don't choose specific deities and others who do. Personally, I worship Bast as my patron Goddess simply because, in most things, she most closely represents my personal beliefs and preferences. That doesn't mean that I haven't asked for assistance from others, or paid them tribute, at different times. I tend to think of the Green Man as my patron God just because it feels right, and I find that a lot of the time you should end up doing what feels right. I don't think it's something you should worry too much about since most Pagans believe that all of the Gods are aspects of the same, and all the Goddesses aspects of the same. For that matter, most Pagans tend to believe that they are all aspects of the same deity and we simply think of a male and female being because it's easier for us to comprehend that way. So do what's right for you. Pick a pantheon, don't pick one, mix pantheons... They'll be there for you regardless.",25
6,"When paying your bills....? ; When paying your regularly monthly bills, what are the main bills that you must pay and the ones that you can skip if you need to? ; Sadly, the bills with the biggest additional penalty get paid first, the nice guys with minimal or no  penalty got delayed payment.\n\nIf it is a really nice creditor, call  and tell them when you will pay, and do it.",29
1,"Past lives....? ; Is it possible to find someone from your past life?? I've been trying to look for information on this and I cannot find anything, If you got any experiences or any links, that would be great, Im asking you this because my boyfriend and I are almost 100% we met before, so many things in our present life confirms this... thank you for reading. ; first, develop your family trees for both of you. Most often when this occurs, you will find that the both of you crossed paths in another lifetime event. I had this experience with a now deceased girlfriend. We believed we were lovers sometime in the past. We began doing research and found my great great grandfather was on the same ship that came from europe with her great great grandmother. One of my relatives had the old dusty picture taken on that voyage in 1898 in an old locker in the attack. We found the picture and on the back was a listing of the people who were in the picture. There was my great great grandfather holding hands with my girlfriends great great grandmother! Most astonishing, it looked just like us in the picture! I still have that picture to remind me of my dear departed love I hope to meet again in another lifetime.",31
3,"What are the right answers in the test please? ; 1) To be ________ means to have a strong desire to be successful.  \n\nA. independent\nB. ambitious\nC. bright\nD. cooperative\nE. decisive\n\n2) Being _________ is doing what people ask you to do without complaining.  \n\nA. independent\nB. ambitious\nC. bright\nD. cooperative\nE. decisive\n\n3) Another word for intelligent is _______. \n\nA. independent\nB. ambitious\nC. bright\nD. cooperative\nE. decisive\n\n4) If someone does not have any new ideas, he is __________. \n\nA. enthusiastic\nB. incapable\nC. skill\nD. staffing\nE. unimaginative\n\n5) A(n) _________ person is consistent and sensible and does what you need or expect.   \n\nA. ambitious\nB. bright\nC. cooperative\nD. decisive\nE. dependable\n\n6) A(n) ________person makes decisions firmly and quickly. \n\nA. independent\nB. ambitious\nC. bright\nD. cooperative\nE. decisive\n\n7) An employee who is ___________ is excited about their job and tasks. \n\nA. enthusiastic\nB. incapable\nC. skill\nD. staffing\nE. unimaginative\n\nthanks ; 1.) B\n2.) D\n3.) C\n4.) E\n5.) E\n6.) E\n7.) A",41
7,Whatz Chamillionaire's myspace? ; i kno he has one but i wanna kno whut it iz im totally in love wit him and i have to talk to him ; http://www.myspace.com/chamillionaire,47
9,"Can John Kerry keep his freaking mouth shut, a week before the election? ; I don't think his remark will hurt the democrats in the election, most people already have their minds made up.  But he is probably done with any future national office! ; I think he really screwed up here.  What he did is a career ender, no matter what party it came from.  Lets face it, the Republicans weren't/aren't doing much to help their standing, but thanks to Mr. Kerry (which he will remain, Mr. that is) they didn't need to.  Now they need to run with it.  \n\nAlso, this thing with Kerry refusing to appologize to the troops and the military, I guess he wants to take the express train out D.C.  I didn't vote for him to 2004, and if he thinkns that he's going to get any votes in 2008, he's nuts!!  The military is one of those things that you just don't mess with.  The American People may not stand behind the leaders of the Military, but they do stand behind the troops.  After all, the troops are our Sons and Daughters.  Some of the smartest people in the nation work in and with the military.  By insulting the people who are defending our freedom, Kerry has doomed himself to an eternity of nothing.",49
1,"How do you conceive a fraternal twin? ; i am just wondering, maybe, there is something that can be done, a sort of preparation for a woman (who wants to be impregnated) to have fraternal twins. ; Fertility treatments that promote ovulation may lead to multiple births.",55
7,"Who can save Kate Homes' from the cult of Scientology--it's even in her house?!!? ; She's not even ""Katie"" anymore. Katie talked it over with Tom and ""they"" decided it didn't sound motherly. So, Kate it is.\n\nHolmes' 'Passive' Behavior Stuns Interviewer\n7 April 2006 (WENN)\nPregnant actress Katie Holmes stunned a magazine journalist when she accompanied fiance Tom Cruise on a recent interview, by acting in a ""dazed, passive and vacant"" manner. The former Dawson's Creek beauty, 27, sat quietly beside Cruise as he opened up about his abusive father Thomas Mapother III to Parade reporter Dotson Rader. In the Parade interview, Rader writes, ""Holmes wore a large diamond engagement ring. She seemed dazed, passive and vacant. She never stopped smiling."" Rader was stunned to notice Holmes kept smiling, even as the Top Gun star recalled the beatings he suffered as a child.\nhttp://www.imdb.com/name/nm0000129/news\n\nMaybe her family or friends can stage an intervention? Discuss please. ; I hope all Christians will pray for everyone sucked into cults like this couple.\n\nPeople involved in cults are taught that if they question anything then they are questionning their loyalty to the group and so just follow the groups line so they are not pushed out.\n\nPeople need friends and acceptance, a sense of belonging somewhere. If there were no problems here, Danny Wallace would not have had such a success with ""Join Me"", in which he asked people to join him, not knowing what this would mean, and loads of people did.\n\nWider families, friendship groups and the church should be providing this acceptance, so just go out and make friends!",56
6,looking for a job in the woodlands or conroe texas area.? ; I am 32 I have 3 children and am looking for work close to home.I have been a clerk at M D Anderson Hospital for over a year.I was a bartender for 12 years. I am good with multi tasking and great with people.I am a hard worker and strive to be the best at what ever I do.If you can give me any information on somithing or someone who can help me find employment I would love to hear from you. ; no,59
5,"What are set-pieces in football? ; england manager Sven said that in the match against sweden,  they did not defend well against set pieces. what or who are set pieces? ; Football is a continuous flowing game i.e. the ball is always being kicked and moved around. However, there are situations when the ball is stopped and one player has time to kick it by himself (usually when there is a foul, offside or the ball crosses the line). Example: Free-kick, Corner-kick, Goal-kick, Throw-in etc. are types of set-pieces.",65
9,"what is the root of the fight between Israel and Palestine? ; I watch the movie Munich directed by Steven Spielberg.Based on the true events. 11 Israeli athletes were held hostage and killed by terrorists during the 1972 olympics. ; Dear derekmleiniger,\n\nYour analogy is totally wrong. Unlike English and other establishers of USA, Israelis started to kill the Palestinians grabbing their land and not ready to give any rights to them. The only reason that Palestinians are facing hard time is that they don't have any port and can't do business activities independently. \n\nWhile only reason Israelis look flourishing is the aid sent by the oversees Jews as well as hefty amount of $ 3 billion from US only.\n\nFollowing is an account of Israel's leaders, you can find it very different compares to people who came to US:\n\n\n\n""We must use terror, assassination, intimidation, land confiscation, and the cutting of all social services to rid the Galilee of its Arab population.""\n-- David Ben-Gurion, May 1948, to the General Staff.   From Ben-Gurion, A Biography, by Michael Ben-Zohar, Delacorte, New York 1978.\n\n""There has been Anti-Semitism, the Nazis, Hitler, Auschwitz, but was that their fault? They see but one thing: we have come and we have stolen their country. Why would they accept that?""\n-- Quoted by Nahum Goldmann in Le Paraddoxe Juif (The Jewish Paradox), pp. 121-122.\n\n""Jewish villages were built in the place of Arab villages. You do not even know the names of these Arab villages, and I do not blame you because geography books no longer exist. Not only do the books not exist, the Arab villages are not there either. Nahlal arose in the place of Mahlul; Kibbutz Gvat in the place of Jibta; Kibbutz Sarid in the place of Huneifis; and Kefar Yehushua in the place of Tal al-Shuman. There is not a single place built in this country that did not have a former Arab population.""\n-- David Ben Gurion, quoted in The Jewish Paradox, by Nahum Goldmann, Weidenfeld and Nicolson, 1978, p. 99.\n\n \nDavid Ben Gurion\nPrime Minister of Israel\n1949 - 1954,\n1955 - 1963\n\n  \n""Israel should have exploited the repression of the demonstrations in China, when world attention focused on that country, to carry out mass expulsions among the Arabs of the territories.""\n-- Benyamin Netanyahu, then Israeli Deputy Foreign Minister, former Prime Minister of Israel, speaking to students at Bar Ilan University, from the Israeli journal Hotam, November 24, 1989.\n  \nBenjamin Netanyahu\nPrime Minister of Israel\n1996 - 1999\n""The Palestinians are like crocodiles, the more you give them meat, they want more"".... \n-- Ehud Barak, Prime Minister of Israel at the time - August 28, 2000. Reported in the Jerusalem Post August 30, 2000\n\n""If we thought that instead of 200 Palestinian fatalities, 2,000 dead would put an end to the fighting at a stroke, we would use much more force....""\n-- Israeli Prime Minister Ehud Barak, quoted in Associated Press, November 16, 2000. \n\n""I would have joined a terrorist organization.""\n-- Ehud Barak's response to Gideon Levy, a columnist for the Ha'aretz newspaper, when Barak was asked what he would have done if he had been born a Palestinian.\n \n \nEhud Barak\nPrime Minister of Israel\n1999 - 2001\n  \n""It is the duty of Israeli leaders to explain to public opinion, clearly and courageously, a certain number of facts that are forgotten with time. The first of these is that there is no Zionism, colonialization, or Jewish State without the eviction of the Arabs and the expropriation of their lands.""\n-- Ariel Sharon, Israeli Foreign Minister, addressing a meeting of militants from the extreme right-wing Tsomet Party, Agence France Presse, November 15, 1998.\n\n""Everybody has to move, run and grab as many (Palestinian) hilltops as they can to enlarge the (Jewish) settlements because everything we take now will stay ours...Everything we don't grab will go to them.""\n-- Ariel Sharon, Israeli Foreign Minister, addressing a meeting of the Tsomet Party, Agence France Presse, Nov. 15, 1998. \n\n""Israel may have the right to put others on trial,",66
8,"show ur hand i will tell u? ; i can see hands line.also i tell about dreams\nif interested please mail me at bluemc20000@yahoo.com or saudalam@yahoo.com.\nno fee or any thing like that ; <Shows my hand to you>\n\nOk guess you cant see.. hmmmm.. \n\n.:Fishie:.\n\nP.S: No hard feelings pls, just trying to be funny.",73
1,"Can you help me with my chemistry homework? ; these are the multiple choice question I got for homework:\nQ.1. A chloride ion differs from a chlorine atom in having one-\n(A) less proton      (D) more electron\n(B) more proton     (E) more neutron\n(C) less electron     \n\nQ.2. When a fluorine atom (2,7) becomes a fluoride ion, the.....\nI atomic number of fluorine increases by 1\nII atom loses one electron\nIII mass number of fluorine decreases by 1\nIV atom takes on 1 negative charge\n\n(A) I, II, III, IV     (D) II,IV\n(B) I, II, III          (E) IV only\n(C) II,III  \n\nSorry for making your minds spin but I put up this homework because I wasn't at school yesterday and we are having monthly exams and none of my school mates are availabele for me to call, thanks in advance.(please give your answer with an explanation of how you got it, so I can understand) ; Chlorine ion has one more electron than cholorine atom.  It take on one more electron to have the same number of electrons as the nearest noble gas: argon.\n\nFluorine atoms gain one more electron to become an ion.  One more negative charge.  It takes on one more electron to have the same number as the nearest noble gas: neon.  Fourth answer only.",74
3,"How can I get Education In England if I don't have so much money? ; How can I get Education In England If I don'y have so much money. ; have you tried learn direct? they have some good courses and most are free for people that qualify, im doing web designing through them and am getting on really well whats the harm of applying phone 0800 100 900 speak to an advisor and they will be able to help you.\nalso check out their website http://www.learndirect-advice.co.uk",77
1,"weather question? ; Why has it been so cold in the Northeast?? It was warm for a while, like back in March, and now it is cold again (like 60's and 70s). it is June it should be much warmer than this for this time of year. \nWill it ever get warm again?? Why is the weather like this? I thought ""global warming"" was supposed to be raising the normal highs....temps are below normal! ; The problem with the entire ""global warming"" concept is that it's net Earth warming- in fact, it can be a lot cooler in one place and warmer in another, and it averages out to be above average temperature.\n\nWeather and climate are funny things... they can change at moment's notice.  Currently, it's cooler up north because of the position of the subtropical jet stream.  This has dropped south, giving us milder, cooler air that is circulating from Canada and other areas.  Normally, the subtropical jet is further north then it is right now, giving us warmer temperatures as we recieve air from the Gulf of Mexico.\n\nSo, it's milder because of the prevailing wind patterns.  Give it a couple of days, and it'll get warmer.\n\nQuite frankly, though, I prefer weather in the 60s and 70s.  It's just about perfect.",78
3,Where can I find info on A Ballad of China by Laura E Richards?? ; The story was published in Childcraft Story Telling and Other Poems copyriten in 1960. ; www.google.com,80
6,"i cant find athen steel corp. as advertised on tv? ; advertised on mothers day about 3.30 pm in jeff city, mo.   i cant find a web site ; call the broadcaster",92
9,"Please think about your most significant accomplishment. Now, could you tell me all about it?as? ; a kid, or teenager,a parent, spouse, aunt, uncle, military, other.Brother or sister, son or daughter or what ever. ; Getting all of my people back to their loved ones from Viet-Nam, except one, over a time span of three years as a 21 year old Staff Sergeant in Recon You can count the DSC if you want too and a few others. The other great accomplishment in my life is still being around to watch my kids and 21 grandchildren do good in this world. Like in Viet-Nam, miracles still very much happen.",96
7,"Who is Johnny Cash? ; Who is Johnny Cash? ; Johnny Cash was a country and rock musician who died in 2003.  He had a pretty long career, got his start around the same time as guys like Elvis.  His songs fall into all kinds of different genres (country, rockabilly, gospel, blues, rock and roll, and folk), and he was very influential in music in general.  His well known songs include ""Folsom Prison Blues"", ""I Walk The Line"", and ""Ring of Fire"".  He struggled with and overcame a drug additiction, and a movie was made about his life called ""Walk the Line"", starring Joaquin Phoenix and Reese Witherspoon.",97
8,"having boyfriend sexual problems? ; alright,me and my boyfriend do get sexually intimate at times but this time he wanted to try something new.he never done it before and i havent also.he was willing to go down on me but i said no and that it was nasty.i've never recieved it before but why do you need a tounge when you got a penis? ; That is not nasty. If you think that is nasty then sex should be nasty.\nBut you try the oral thing and then and only then you will know why you need a tongue even though you got a penis.\nSince it is the first time, tell him focus on the clit and use his fingers too.",105
8,"Do you think that my boyfriend will be sorry if I break up with him? ; He treats me pretty bad. I treat him like royalty. I am very loyal to him and faithful. But he never calls me, or returns my calls. I may see him about once a week if I am lucky. He always let me down, saying that he will do something, and then not doing it. He knows that I love him very much. But he dosnt know how fed up I am. ; He has made it very clear that your feelings arent very important to him, and I dont think he loves you as much as you love him, or as much as you deserve to be loved!\nYou sound like a wonderful girl, and there are plenty of good guys who would treat you right and appreciate all that you do. Hold out for just that!\nYour boyfriend might be sorry, but he needs a lesson in life. You cant treat people badly and expect them to put up with it!",106
4,"is there a way to burn a bit torrent file onto a blank cd? ; ok so i have a bit torrent file on my u torrent 1.4 thing. and now it takes up quite a bit of space. so i was wundering if there was a way to put that movie onto a black disc. but i need it only for movies. ; A torrent file is actually a tiny file that allows you to download something else from the network. The file that you want to burn isn't a torrent file, but a video file of some sort. (avi, mpg, mov, etc.) As long as that video is less than 700 megabytes (the maximum capacity of a CDR) then you can burn it just like any other data file.",116
